cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
all_available	0	af_experiment_rmsd_angstrom	18	18	4.770589102258556	3.6641336474761173	9.04425803687023			
all_available	0	af_experiment_local_mean_absolute_difference_angstrom	18	18	0.8431861746252453	0.6724360952743351	1.5634475875346738			
all_available	0	af_experiment_local_rms_difference_angstrom	18	18	1.9039953160519754	1.236508406383892	5.166964056815785			
all_available	0	esm_experiment_rmsd_angstrom	18	18	9.27426123662074	6.69516477930471	22.729589707856654			
all_available	0	esm_experiment_local_mean_absolute_difference_angstrom	18	18	1.5249845355040725	0.9908345339911852	2.976024633484381			
all_available	0	esm_experiment_local_rms_difference_angstrom	18	18	3.8042076598226844	2.413643764505298	6.888059751319113			
all_available	0	af_esm_rmsd_angstrom	18	18	6.646166984899246	5.127665941927507	15.562505356328762			
all_available	0	af_esm_local_mean_absolute_difference_angstrom	18	18	0.766572369985977	0.4371583703007176	0.9933528602406273			
all_available	0	af_esm_local_rms_difference_angstrom	18	18	2.0270679996932524	1.2945834609485714	3.7729479906763026			
all_available	0	paired_delta_rmsd_angstrom	18	18	3.1471938902873444	0.13027539365315766	5.006745389899204	14	4	0
all_available	0	paired_delta_local_mean_absolute_difference_angstrom	18	18	0.21389364721309967	0.05010891406121082	0.5644852337389366	16	2	0
all_available	0	paired_delta_local_rms_difference_angstrom	18	18	0.5436483841775688	-0.054282691770817904	1.4312149585667617	13	5	0
all_available	70	af_experiment_rmsd_angstrom	16	16	3.152162952783482	2.040273776426414	7.719357908383376			
all_available	70	af_experiment_local_mean_absolute_difference_angstrom	16	16	0.6811133527992433	0.5118139060588132	0.9509847313979529			
all_available	70	af_experiment_local_rms_difference_angstrom	16	16	1.1621616985123295	0.7872278078022803	2.714171557329779			
all_available	70	esm_experiment_rmsd_angstrom	16	16	6.668568922058651	3.7966686733207675	16.443977538917856			
all_available	70	esm_experiment_local_mean_absolute_difference_angstrom	16	16	0.9144434701315196	0.6263257609951005	1.4146310247167897			
all_available	70	esm_experiment_local_rms_difference_angstrom	16	16	1.7713388244511261	0.9074682676229578	3.724549320671025			
all_available	70	af_esm_rmsd_angstrom	16	16	5.272414785771392	2.4442912832531087	12.412396307133971			
all_available	70	af_esm_local_mean_absolute_difference_angstrom	16	16	0.2978680352410783	0.2417766108722758	0.5674997785682221			
all_available	70	af_esm_local_rms_difference_angstrom	16	16	0.7004528978784538	0.42812221494066	1.265579738090027			
all_available	70	paired_delta_rmsd_angstrom	16	16	1.741810602694788	0.42600093514746773	4.118714347450088	12	4	0
all_available	70	paired_delta_local_mean_absolute_difference_angstrom	16	16	0.06013874133324021	0.03833546918456143	0.22150682098395452	15	1	0
all_available	70	paired_delta_local_rms_difference_angstrom	16	16	0.08591175334544904	0.051262449890259104	0.6375492229289493	14	2	0
all_available	90	af_experiment_rmsd_angstrom	1	1	7.255209473082721	7.255209473082721	7.255209473082721			
all_available	90	af_experiment_local_mean_absolute_difference_angstrom	1	1	0.24015346614602057	0.24015346614602057	0.24015346614602057			
all_available	90	af_experiment_local_rms_difference_angstrom	1	1	0.3444516268815497	0.3444516268815497	0.3444516268815497			
all_available	90	esm_experiment_rmsd_angstrom	1	1	5.779296872472734	5.779296872472734	5.779296872472734			
all_available	90	esm_experiment_local_mean_absolute_difference_angstrom	1	1	0.2933433551256826	0.2933433551256826	0.2933433551256826			
all_available	90	esm_experiment_local_rms_difference_angstrom	1	1	0.4566374648889689	0.4566374648889689	0.4566374648889689			
all_available	90	af_esm_rmsd_angstrom	1	1	5.243188098714027	5.243188098714027	5.243188098714027			
all_available	90	af_esm_local_mean_absolute_difference_angstrom	1	1	0.18633443382760811	0.18633443382760811	0.18633443382760811			
all_available	90	af_esm_local_rms_difference_angstrom	1	1	0.326849950075882	0.326849950075882	0.326849950075882			
all_available	90	paired_delta_rmsd_angstrom	1	1	-1.4759126006099876	-1.4759126006099876	-1.4759126006099876	0	1	0
all_available	90	paired_delta_local_mean_absolute_difference_angstrom	1	1	0.05318988897966204	0.05318988897966204	0.05318988897966204	1	0	0
all_available	90	paired_delta_local_rms_difference_angstrom	1	1	0.11218583800741921	0.11218583800741921	0.11218583800741921	1	0	0
same_proteins_all_thresholds	0	af_experiment_rmsd_angstrom	1	1	7.601588566979821	7.601588566979821	7.601588566979821			
same_proteins_all_thresholds	0	af_experiment_local_mean_absolute_difference_angstrom	1	1	0.5605316114777764	0.5605316114777764	0.5605316114777764			
same_proteins_all_thresholds	0	af_experiment_local_rms_difference_angstrom	1	1	1.945321963431111	1.945321963431111	1.945321963431111			
same_proteins_all_thresholds	0	esm_experiment_rmsd_angstrom	1	1	6.67425783366585	6.67425783366585	6.67425783366585			
same_proteins_all_thresholds	0	esm_experiment_local_mean_absolute_difference_angstrom	1	1	0.5652207107168071	0.5652207107168071	0.5652207107168071			
same_proteins_all_thresholds	0	esm_experiment_local_rms_difference_angstrom	1	1	1.546341093167844	1.546341093167844	1.546341093167844			
same_proteins_all_thresholds	0	af_esm_rmsd_angstrom	1	1	5.465942900944621	5.465942900944621	5.465942900944621			
same_proteins_all_thresholds	0	af_esm_local_mean_absolute_difference_angstrom	1	1	0.36108853668162116	0.36108853668162116	0.36108853668162116			
same_proteins_all_thresholds	0	af_esm_local_rms_difference_angstrom	1	1	1.026062348465106	1.026062348465106	1.026062348465106			
same_proteins_all_thresholds	0	paired_delta_rmsd_angstrom	1	1	-0.9273307333139709	-0.9273307333139709	-0.9273307333139709	0	1	0
same_proteins_all_thresholds	0	paired_delta_local_mean_absolute_difference_angstrom	1	1	0.004689099239030714	0.004689099239030714	0.004689099239030714	1	0	0
same_proteins_all_thresholds	0	paired_delta_local_rms_difference_angstrom	1	1	-0.3989808702632669	-0.3989808702632669	-0.3989808702632669	0	1	0
same_proteins_all_thresholds	70	af_experiment_rmsd_angstrom	1	1	7.401135170858531	7.401135170858531	7.401135170858531			
same_proteins_all_thresholds	70	af_experiment_local_mean_absolute_difference_angstrom	1	1	0.377897183603852	0.377897183603852	0.377897183603852			
same_proteins_all_thresholds	70	af_experiment_local_rms_difference_angstrom	1	1	1.4045943069754134	1.4045943069754134	1.4045943069754134			
same_proteins_all_thresholds	70	esm_experiment_rmsd_angstrom	1	1	6.457688078095666	6.457688078095666	6.457688078095666			
same_proteins_all_thresholds	70	esm_experiment_local_mean_absolute_difference_angstrom	1	1	0.4020225838057856	0.4020225838057856	0.4020225838057856			
same_proteins_all_thresholds	70	esm_experiment_local_rms_difference_angstrom	1	1	0.908518322340636	0.908518322340636	0.908518322340636			
same_proteins_all_thresholds	70	af_esm_rmsd_angstrom	1	1	5.421803719109117	5.421803719109117	5.421803719109117			
same_proteins_all_thresholds	70	af_esm_local_mean_absolute_difference_angstrom	1	1	0.2797259117382771	0.2797259117382771	0.2797259117382771			
same_proteins_all_thresholds	70	af_esm_local_rms_difference_angstrom	1	1	0.8477090477438814	0.8477090477438814	0.8477090477438814			
